iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2
68,51.8252,548.812,0.100279,0.291667,0.375,0.0866963,0.258292,0.908894,-0.00963149,-15.8288,1e-05,0.0219124,0.100431,8907.74,0.997828,0.381646,-1,0.2,86.2368,835584,1.03254,0.847452,1.06778,0.3852,-0.741706
69,36.2114,398.583,0.0995167,0.0833333,0.416667,0.0865546,0.296245,1.06171,-0.0110947,-15.8278,1e-05,0.0209012,0.100437,10941,0.779066,0.34405,-1,0.2,87.3612,847872,0.732742,0.621176,0.771752,0.291882,-0.606982
70,31.9474,395.643,0.101139,0.0833333,0.5,0.0842263,0.273106,0.950192,-0.0114897,-15.8266,1e-05,0.0113664,0.100444,8752.51,0.942056,0.461884,-1,0.2,88.7664,860160,0.708147,0.504262,0.763904,0.245736,-0.624681
71,58.6502,592.882,0.0998969,0.25,0.458333,0.084546,0.272276,1.00836,-0.0118567,-15.8253,1e-05,0.0158526,0.100451,8794.17,0.981651,0.415639,-1,0.2,90.1653,872448,1.11683,0.942782,1.15233,0.447138,-0.72657
72,46.0977,554.562,0.0996384,0.166667,0.5,0.0866884,0.296577,0.902691,-0.0119679,-15.8244,1e-05,0.0176835,0.100453,10054.7,0.874267,0.347844,-1,0.2,91.3888,884736,1.00524,0.757527,1.07391,0.357239,-0.889025
73,28.6914,365.833,0.101395,0.0833333,0.416667,0.084014,0.262504,0.730223,-0.0103027,-15.824,1e-05,0.0117709,0.100457,9601.66,0.918875,0.360904,-1,0.2,92.6698,897024,0.659468,0.511364,0.708038,0.233388,-0.67769
74,36.4887,458.9,0.100183,0.125,0.291667,0.0834439,0.276013,1.05886,-0.00975626,-15.823,1e-05,0.015051,0.100465,9272.49,0.909246,0.415965,-1,0.2,93.9962,909312,0.835778,0.644856,0.892466,0.257702,-0.806368
75,43.5161,504.2,0.101192,0.125,0.5,0.0815154,0.257742,0.956098,-0.0112105,-15.8214,1e-05,0.0111952,0.100473,9661.92,0.925157,0.34664,-1,0.2,95.2694,921600,0.933086,0.717285,0.978912,0.360148,-0.813628
76,32.0732,434,0.101647,0.0833333,0.208333,0.0822723,0.254666,1.16469,-0.0105311,-15.8201,1e-05,0.0231169,0.10048,9963.42,0.83171,0.401602,-1,0.2,96.504,933888,0.768789,0.589306,0.838408,0.243954,-0.836798
77,29.6155,403.8,0.102062,0.125,0.708333,0.0819609,0.264351,0.720799,-0.00956543,-15.8188,1e-05,0.0104171,0.100487,9375.26,0.893596,0.417087,-1,0.2,97.8162,946176,0.721565,0.503671,0.783226,0.246685,-0.774369
